FinalID,FinalIDassigned,Phylum,Class,Order,Family,Genus,
Achnanthaceae,Achnanthaceae,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,NA,
Achnanthales,Achnanthales,Bacillariophyta,Bacillariophyceae,Achnanthales,NA,NA,
Achnanthes,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes acares,Achnanthes acares,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes biasolettiana var subatomus,Achnanthes biasolettiana var subatomus,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes brevipes,Achnanthes brevipes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes brevipes var intermedia,Achnanthes brevipes var intermedia,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes cf acares DWB,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes cf lanceolatoides SWAMP JPK,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes cf ricula,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes cf rupestoides SCCWRP MCB,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes cf stolida DWB,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes coarctata,Achnanthes coarctata,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes coarctata (Br_bisson ex W Smith) Grunow in Cleve & Grunow,Achnanthes coarctata,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes coarctata (BrÂbisson ex W Smith) Grunow in Cleve & Grunow,Achnanthes coarctata,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes coarctata (BrÂbisson ex W. Smith) Grunow in Cleve & Grunow,Achnanthes coarctata,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes crenulata,Achnanthes crenulata,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes exigua var elliptica,Achnanthes exigua var elliptica,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes inflata,Achnanthes inflata,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes ingratiformis,Achnanthes ingratiformis,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes lacus-vulcani,Achnanthes lacus-vulcani,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes lewisiana,Achnanthes lewisiana,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes lutheri,Achnanthes lutheri,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes ricula,Achnanthes ricula,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes saxonica,Achnanthes saxonica,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes sp 1,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes sp 1 PRW,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes sp 18,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes sp 3,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes sp 4,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes sp 5,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes sp A SWAMP EWT,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes sp A SWAMP JPK,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes subhudsonis var kraeuselii,Achnanthes subhudsonis var kraeuselii,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes taeniata,Achnanthes taeniata,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes ventralis,Achnanthes ventralis,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthidiaceae,Achnanthidiaceae,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,NA,
Achnanthidium,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium affine,Achnanthidium affine,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium alpestre,Achnanthidium alpestre,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium atomus,Achnanthidium atomus,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium biasolettianum,Achnanthidium biasolettianum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium biasolettianum (Grunow in Cleve & Grunow) Round & Bukhtiyarova,Achnanthidium biasolettianum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium catenatum,Achnanthidium catenatum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium cf caledonicum,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium cf deflexum SWAMP JPK,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium cf duthiei SWAMP KB,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium cf jackii DWB,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium cf latecephalum,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
